Time(dd/mm/yyyy),Carbon dioxide(ppm),Temperature(°C),Relative humidity(%),Atmospheric pressure(hPa)
14/03/2023 17:12:02,463,21.6,47,996.1
14/03/2023 17:13:02,447,21.6,48,996.2
14/03/2023 17:14:02,468,21.6,48,996.2
14/03/2023 17:15:02,461,21.6,47,996.2
14/03/2023 17:16:02,450,21.6,48,996.3
14/03/2023 17:17:02,457,21.6,47,996.3
14/03/2023 17:18:02,437,21.5,47,996.2
14/03/2023 17:19:02,455,21.5,47,996.3
14/03/2023 17:20:02,429,21.5,48,996.3
14/03/2023 17:21:02,450,21.5,47,996.1
14/03/2023 17:22:02,434,21.5,47,996
14/03/2023 17:23:02,453,21.5,47,996.2
14/03/2023 17:24:02,432,21.5,47,996.1
14/03/2023 17:25:02,438,21.5,47,996.1
14/03/2023 17:26:02,437,21.5,47,996.1
14/03/2023 17:27:02,443,21.5,47,996.2
14/03/2023 17:28:02,426,21.4,47,996.1
14/03/2023 17:29:02,444,21.4,47,996.2
14/03/2023 17:30:02,432,21.4,47,996.1
14/03/2023 17:31:02,447,21.4,47,996.2
14/03/2023 17:32:02,428,21.4,47,996.3
14/03/2023 17:33:02,442,21.4,47,996.2
14/03/2023 17:34:02,419,21.4,47,996.3
14/03/2023 17:35:02,442,21.3,47,996.3
14/03/2023 17:36:02,421,21.3,47,996.2
14/03/2023 17:37:02,421,21.3,47,996.3
14/03/2023 17:38:02,438,21.3,47,996.2
14/03/2023 17:39:02,427,21.3,47,996.2
14/03/2023 17:40:02,433,21.3,47,996.3
14/03/2023 17:41:02,443,21.3,47,996.2
14/03/2023 17:42:02,430,21.3,47,996.2
14/03/2023 17:43:02,449,21.3,47,996.2
14/03/2023 17:44:02,430,21.3,47,996.2
14/03/2023 17:45:02,429,21.2,47,996.2
14/03/2023 17:46:02,436,21.2,47,996.1
14/03/2023 17:47:02,435,21.2,47,996.2
14/03/2023 17:48:02,443,21.2,47,996.2
14/03/2023 17:49:02,417,21.2,47,996.2
14/03/2023 17:50:02,424,21.2,47,996.1
14/03/2023 17:51:02,446,21.2,47,996.3
14/03/2023 17:52:02,436,21.2,47,996.2
14/03/2023 17:53:02,442,21.2,47,996.3
14/03/2023 17:54:02,422,21.1,47,996.2
14/03/2023 17:55:02,442,21.1,47,996.1
14/03/2023 17:56:02,441,21.1,47,996.1
14/03/2023 17:57:02,423,21.1,47,996.1
14/03/2023 17:58:02,437,21.1,47,996.1
14/03/2023 17:59:02,430,21.1,47,995.9
14/03/2023 18:00:02,434,21.1,47,996.1
14/03/2023 18:01:02,441,21.1,47,996
14/03/2023 18:02:02,427,21.1,47,996
14/03/2023 18:03:02,451,21.1,47,996.1
14/03/2023 18:04:02,425,21.1,47,996
14/03/2023 18:05:02,430,21.1,47,996
14/03/2023 18:06:02,443,21,47,996
14/03/2023 18:07:02,429,21,47,996.1
14/03/2023 18:08:02,452,21,47,996
14/03/2023 18:09:02,435,21,47,996
14/03/2023 18:10:02,443,21,47,996.1
14/03/2023 18:11:02,458,21,47,996.1
14/03/2023 18:12:02,449,21,47,996.2
14/03/2023 18:13:02,452,20.9,47,996.1
14/03/2023 18:14:02,451,20.9,47,996.2
14/03/2023 18:15:02,444,21,47,996.1
14/03/2023 18:16:02,447,20.9,47,996.2
14/03/2023 18:17:02,444,20.9,47,996.1
14/03/2023 18:18:02,435,20.9,47,996.2
14/03/2023 18:19:02,424,20.9,47,996.2
14/03/2023 18:20:02,441,20.9,47,996.3
14/03/2023 18:21:02,460,20.9,47,996.3
14/03/2023 18:22:02,440,20.9,47,996.4
14/03/2023 18:23:02,458,20.8,47,996.3
14/03/2023 18:24:02,441,20.8,47,996.5
14/03/2023 18:25:02,445,20.8,47,996.3
14/03/2023 18:26:02,450,20.8,47,996.5
14/03/2023 18:27:02,439,20.8,47,996.6
14/03/2023 18:28:02,434,20.8,47,996.5
14/03/2023 18:29:02,428,20.8,47,996.6
14/03/2023 18:30:02,447,20.8,47,996.5
14/03/2023 18:31:02,436,20.8,47,996.7
14/03/2023 18:32:02,439,20.8,47,996.7
14/03/2023 18:33:02,417,20.8,47,996.8
14/03/2023 18:34:02,436,20.7,47,996.7
14/03/2023 18:35:02,424,20.8,47,996.8
14/03/2023 18:36:02,445,20.7,47,996.8
14/03/2023 18:37:02,438,20.7,47,996.9
14/03/2023 18:38:02,442,20.7,47,996.8
14/03/2023 18:39:02,427,20.7,47,996.9
14/03/2023 18:40:02,428,20.7,47,997
14/03/2023 18:41:02,450,20.7,47,997
14/03/2023 18:42:02,449,20.7,47,997
14/03/2023 18:43:02,439,20.7,47,997.1
14/03/2023 18:44:02,451,20.7,47,997.1
14/03/2023 18:45:02,438,20.7,47,997.2
14/03/2023 18:46:02,432,20.7,47,997.2
14/03/2023 18:47:02,457,20.7,47,997.2
14/03/2023 18:48:02,452,20.6,47,997.2
14/03/2023 18:49:02,441,20.6,47,997.3
14/03/2023 18:50:02,442,20.6,47,997.3
14/03/2023 18:51:02,451,20.6,47,997.3
14/03/2023 18:52:02,440,20.6,47,997.3
14/03/2023 18:53:02,452,20.6,47,997.4
14/03/2023 18:54:02,436,20.6,47,997.4
14/03/2023 18:55:02,441,20.6,47,997.4
14/03/2023 18:56:02,441,20.6,47,997.6
14/03/2023 18:57:02,437,20.6,47,997.5
14/03/2023 18:58:02,453,20.6,47,997.5
14/03/2023 18:59:02,442,20.6,47,997.5
14/03/2023 19:00:02,450,20.6,47,997.5
14/03/2023 19:01:02,437,20.6,47,997.5
14/03/2023 19:02:02,441,20.5,47,997.7
14/03/2023 19:03:02,436,20.6,47,997.6
14/03/2023 19:04:02,438,20.5,47,997.7
14/03/2023 19:05:02,430,20.5,47,997.7
14/03/2023 19:06:02,434,20.5,47,997.7
14/03/2023 19:07:02,444,20.5,47,997.7
14/03/2023 19:08:02,440,20.5,47,997.7
14/03/2023 19:09:02,423,20.5,47,997.7
14/03/2023 19:10:02,436,20.5,47,997.7
14/03/2023 19:11:02,426,20.5,47,997.7
14/03/2023 19:12:02,427,20.5,47,997.7
14/03/2023 19:13:02,428,20.5,46,997.8
14/03/2023 19:14:02,430,20.5,46,997.7
14/03/2023 19:15:02,423,20.5,46,997.7
14/03/2023 19:16:02,436,20.5,46,997.8
14/03/2023 19:17:02,442,20.4,46,997.8
14/03/2023 19:18:02,437,20.4,46,997.8
14/03/2023 19:19:02,425,20.4,46,997.7
14/03/2023 19:20:02,444,20.4,46,997.8
14/03/2023 19:21:02,419,20.4,46,997.6
14/03/2023 19:22:02,441,20.4,46,997.7
14/03/2023 19:23:02,448,20.4,46,997.7
14/03/2023 19:24:02,432,20.4,46,997.8
14/03/2023 19:25:02,440,20.4,46,997.7
14/03/2023 19:26:02,438,20.4,46,997.7
14/03/2023 19:27:02,451,20.4,46,997.7
14/03/2023 19:28:02,436,20.4,46,997.7
14/03/2023 19:29:02,434,20.4,46,997.8
14/03/2023 19:30:02,440,20.4,46,997.8
14/03/2023 19:31:02,440,20.3,46,997.8
14/03/2023 19:32:02,443,20.3,46,997.8
14/03/2023 19:33:02,427,20.3,46,997.8
14/03/2023 19:34:02,453,20.3,46,997.8
14/03/2023 19:35:02,418,20.3,46,997.9
14/03/2023 19:36:02,436,20.3,46,997.9
14/03/2023 19:37:02,421,20.3,46,997.8
14/03/2023 19:38:02,440,20.3,46,997.8
14/03/2023 19:39:02,429,20.3,46,997.8
14/03/2023 19:40:02,431,20.3,46,997.9
14/03/2023 19:41:02,425,20.3,46,997.9
14/03/2023 19:42:02,429,20.3,46,998
14/03/2023 19:43:02,436,20.3,46,998
14/03/2023 19:44:02,450,20.3,46,998
14/03/2023 19:45:02,442,20.3,46,998
14/03/2023 19:46:02,437,20.2,46,998.1
14/03/2023 19:47:02,439,20.2,46,998
14/03/2023 19:48:02,433,20.2,46,998.1
14/03/2023 19:49:02,436,20.2,46,998.1
14/03/2023 19:50:02,441,20.2,46,998.2
14/03/2023 19:51:02,437,20.2,46,998.3
14/03/2023 19:52:02,448,20.2,46,998.3
14/03/2023 19:53:02,427,20.2,46,998.2
14/03/2023 19:54:02,440,20.2,46,998.3
14/03/2023 19:55:02,436,20.2,45,998.2
14/03/2023 19:56:02,439,20.1,45,998.2
14/03/2023 19:57:02,409,20.2,45,998.3
14/03/2023 19:58:02,439,20.1,45,998.3
14/03/2023 19:59:02,427,20.1,45,998.3
14/03/2023 20:00:02,436,20.1,45,998.3
14/03/2023 20:01:02,431,20.1,45,998.4
14/03/2023 20:02:02,428,20.1,45,998.3
14/03/2023 20:03:02,429,20.1,45,998.3
14/03/2023 20:04:02,434,20.1,45,998.4
14/03/2023 20:05:02,443,20.1,45,998.4
14/03/2023 20:06:02,435,20.1,45,998.5
14/03/2023 20:07:02,443,20.1,45,998.4
14/03/2023 20:08:02,432,20.1,45,998.4
14/03/2023 20:09:02,437,20.1,45,998.5
14/03/2023 20:10:02,421,20.1,45,998.4
14/03/2023 20:11:02,426,20,45,998.5
14/03/2023 20:12:02,456,20.1,45,998.6
14/03/2023 20:13:02,432,20,45,998.6
14/03/2023 20:14:02,415,20,45,998.7
14/03/2023 20:15:02,437,20,45,998.6
14/03/2023 20:16:02,436,20,45,998.5
14/03/2023 20:17:02,421,20,45,998.6
14/03/2023 20:18:02,424,20,45,998.6
14/03/2023 20:19:02,424,20,45,998.7
14/03/2023 20:20:02,432,20,45,998.6
14/03/2023 20:21:02,420,20,45,998.6
14/03/2023 20:22:02,430,20,45,998.6
14/03/2023 20:23:02,436,19.9,45,998.6
14/03/2023 20:24:02,451,20,45,998.7
14/03/2023 20:25:02,440,19.9,45,998.6
14/03/2023 20:26:02,445,19.9,45,998.6
14/03/2023 20:27:02,433,20,45,998.7
14/03/2023 20:28:02,433,19.9,45,998.7
14/03/2023 20:29:02,427,19.9,45,998.8
14/03/2023 20:30:02,439,19.9,45,998.8
14/03/2023 20:31:02,436,19.9,45,998.8
14/03/2023 20:32:02,424,19.9,45,998.8
14/03/2023 20:33:02,435,19.9,45,998.8
14/03/2023 20:34:02,416,19.9,45,998.8
14/03/2023 20:35:02,424,19.9,45,998.8
14/03/2023 20:36:02,437,19.9,45,998.8
14/03/2023 20:37:02,439,19.9,45,998.7
14/03/2023 20:38:02,436,19.9,45,998.8
14/03/2023 20:39:02,439,19.9,45,998.7
14/03/2023 20:40:02,416,19.9,45,998.9
14/03/2023 20:41:02,431,19.9,45,998.9
14/03/2023 20:42:02,432,19.9,45,999
14/03/2023 20:43:02,451,19.9,45,998.9
14/03/2023 20:44:02,415,19.8,45,998.9
14/03/2023 20:45:02,432,19.8,44,998.9
14/03/2023 20:46:02,422,19.8,45,999
14/03/2023 20:47:02,425,19.8,45,999.1
14/03/2023 20:48:02,439,19.8,45,999
14/03/2023 20:49:02,429,19.8,45,999.1
14/03/2023 20:50:02,443,19.8,45,999.1
14/03/2023 20:51:02,436,19.8,45,999
14/03/2023 20:52:02,449,19.8,45,999.1
14/03/2023 20:53:02,414,19.8,45,999.1
14/03/2023 20:54:02,445,19.8,45,999.1
14/03/2023 20:55:02,451,19.8,45,999.2
14/03/2023 20:56:02,445,19.7,44,999.2
14/03/2023 20:57:02,433,19.8,44,999.2
14/03/2023 20:58:02,433,19.8,45,999.2
14/03/2023 20:59:02,445,19.8,45,999.2
14/03/2023 21:00:02,445,19.7,45,999.2
14/03/2023 21:01:02,438,19.7,44,999.3
14/03/2023 21:02:02,435,19.7,44,999.3
14/03/2023 21:03:02,432,19.7,44,999.2
14/03/2023 21:04:02,424,19.7,44,999.3
14/03/2023 21:05:02,428,19.7,44,999.3
14/03/2023 21:06:02,428,19.7,44,999.2
14/03/2023 21:07:02,440,19.7,44,999.2
14/03/2023 21:08:02,431,19.7,44,999.3
14/03/2023 21:09:02,441,19.7,44,999.3
14/03/2023 21:10:02,442,19.7,44,999.3
14/03/2023 21:11:02,415,19.7,44,999.5
14/03/2023 21:12:02,430,19.7,44,999.5
14/03/2023 21:13:02,428,19.7,44,999.5
14/03/2023 21:14:02,426,19.7,44,999.5
14/03/2023 21:15:02,439,19.6,44,999.5
14/03/2023 21:16:02,440,19.6,44,999.6
14/03/2023 21:17:02,432,19.6,44,999.6
14/03/2023 21:18:02,442,19.6,44,999.6
14/03/2023 21:19:02,443,19.6,44,999.6
14/03/2023 21:20:02,446,19.6,44,999.6
14/03/2023 21:21:02,443,19.6,44,999.7
14/03/2023 21:22:02,435,19.6,44,999.6
14/03/2023 21:23:02,421,19.6,44,999.6
14/03/2023 21:24:02,440,19.6,44,999.6
14/03/2023 21:25:02,441,19.6,44,999.7
14/03/2023 21:26:02,431,19.6,44,999.7
14/03/2023 21:27:02,424,19.6,44,999.7
14/03/2023 21:28:02,449,19.5,44,999.7
14/03/2023 21:29:02,443,19.6,44,999.7
14/03/2023 21:30:02,422,19.6,44,999.7
14/03/2023 21:31:02,436,19.6,44,999.8
14/03/2023 21:32:02,422,19.5,44,999.8
14/03/2023 21:33:02,411,19.5,44,999.8
14/03/2023 21:34:02,420,19.5,44,999.8
14/03/2023 21:35:02,441,19.5,44,999.8
14/03/2023 21:36:02,441,19.5,44,999.9
14/03/2023 21:37:02,443,19.5,44,999.8
14/03/2023 21:38:02,429,19.5,44,999.9
14/03/2023 21:39:02,444,19.5,44,999.9
14/03/2023 21:40:02,432,19.5,44,999.9
14/03/2023 21:41:02,443,19.5,44,1000
14/03/2023 21:42:02,423,19.5,44,1000
14/03/2023 21:43:02,429,19.5,43,1000
14/03/2023 21:44:02,440,19.5,43,1000.1
14/03/2023 21:45:02,431,19.5,43,1000
14/03/2023 21:46:02,444,19.5,44,1000.1
14/03/2023 21:47:02,421,19.5,44,1000.1
14/03/2023 21:48:02,449,19.4,43,1000.1
14/03/2023 21:49:02,437,19.5,43,1000.1
14/03/2023 21:50:02,435,19.4,43,1000.2
14/03/2023 21:51:02,432,19.4,43,1000.1
14/03/2023 21:52:02,427,19.4,43,1000.3
14/03/2023 21:53:02,431,19.4,43,1000.3
14/03/2023 21:54:02,429,19.4,43,1000.2
14/03/2023 21:55:02,427,19.4,43,1000.3
14/03/2023 21:56:02,443,19.4,43,1000.3
14/03/2023 21:57:02,423,19.4,43,1000.3
14/03/2023 21:58:02,446,19.4,43,1000.3
14/03/2023 21:59:02,423,19.3,43,1000.3
14/03/2023 22:00:02,413,19.3,43,1000.4
14/03/2023 22:01:02,428,19.3,43,1000.4
14/03/2023 22:02:02,448,19.3,43,1000.4
14/03/2023 22:03:02,446,19.3,43,1000.4
14/03/2023 22:04:02,427,19.3,43,1000.5
14/03/2023 22:05:02,424,19.3,43,1000.5
14/03/2023 22:06:02,442,19.3,43,1000.7
14/03/2023 22:07:02,428,19.3,43,1000.6
14/03/2023 22:08:02,440,19.3,43,1000.6
14/03/2023 22:09:02,423,19.3,43,1000.6
14/03/2023 22:10:02,416,19.3,43,1000.6
14/03/2023 22:11:02,411,19.3,43,1000.6
14/03/2023 22:12:02,436,19.3,43,1000.6
14/03/2023 22:13:02,434,19.3,43,1000.6
14/03/2023 22:14:02,441,19.3,42,1000.5
14/03/2023 22:15:02,440,19.2,43,1000.5
14/03/2023 22:16:02,434,19.2,43,1000.5
14/03/2023 22:17:02,426,19.3,43,1000.5
14/03/2023 22:18:02,438,19.2,42,1000.5
14/03/2023 22:19:02,431,19.2,43,1000.5
14/03/2023 22:20:02,451,19.2,42,1000.6
14/03/2023 22:21:02,430,19.2,43,1000.6
14/03/2023 22:22:02,439,19.2,42,1000.6
14/03/2023 22:23:02,446,19.2,42,1000.5
14/03/2023 22:24:02,449,19.2,42,1000.7
14/03/2023 22:25:02,446,19.2,42,1000.6
14/03/2023 22:26:02,439,19.2,42,1000.5
14/03/2023 22:27:02,437,19.2,42,1000.6
14/03/2023 22:28:02,447,19.2,42,1000.6
14/03/2023 22:29:02,442,19.2,42,1000.5
14/03/2023 22:30:02,443,19.2,42,1000.7
14/03/2023 22:31:02,433,19.2,42,1000.5
14/03/2023 22:32:02,439,19.2,42,1000.5
14/03/2023 22:33:02,435,19.2,42,1000.6
14/03/2023 22:34:02,430,19.2,42,1000.5
14/03/2023 22:35:02,448,19.2,42,1000.6
14/03/2023 22:36:02,438,19.2,42,1000.6
14/03/2023 22:37:02,440,19.1,42,1000.5
14/03/2023 22:38:02,440,19.2,42,1000.4
14/03/2023 22:39:02,439,19.1,42,1000.4
14/03/2023 22:40:02,427,19.1,42,1000.4
14/03/2023 22:41:02,435,19.1,42,1000.5
14/03/2023 22:42:02,428,19.1,42,1000.5
14/03/2023 22:43:02,440,19.1,41,1000.5
14/03/2023 22:44:02,433,19.1,42,1000.5
14/03/2023 22:45:02,449,19.1,42,1000.5
14/03/2023 22:46:02,416,19.1,42,1000.4
14/03/2023 22:47:02,415,19.1,42,1000.5
14/03/2023 22:48:02,443,19.1,42,1000.4
14/03/2023 22:49:02,434,19.1,42,1000.4
14/03/2023 22:50:02,419,19.1,42,1000.5
14/03/2023 22:51:02,436,19,42,1000.5
14/03/2023 22:52:02,437,19.1,42,1000.5
14/03/2023 22:53:02,450,19.1,42,1000.6
14/03/2023 22:54:02,426,19.1,42,1000.6
14/03/2023 22:55:02,445,19.1,42,1000.5
14/03/2023 22:56:02,445,19.1,42,1000.6
14/03/2023 22:57:02,446,19,42,1000.5
14/03/2023 22:58:02,442,19,42,1000.5
14/03/2023 22:59:02,453,19,42,1000.7
14/03/2023 23:00:02,437,19,42,1000.6
14/03/2023 23:01:02,437,18.9,42,1000.7
14/03/2023 23:02:02,420,18.9,42,1000.7
14/03/2023 23:03:02,439,18.9,42,1000.7
14/03/2023 23:04:02,451,18.9,42,1000.7
14/03/2023 23:05:02,405,18.9,42,1000.7
14/03/2023 23:06:02,431,18.9,42,1000.7
14/03/2023 23:07:02,430,18.9,42,1000.7
14/03/2023 23:08:02,433,18.9,42,1000.7
14/03/2023 23:09:02,438,18.9,42,1000.9
14/03/2023 23:10:02,459,18.9,42,1000.8
14/03/2023 23:11:02,424,18.9,42,1000.9
14/03/2023 23:12:02,434,18.9,42,1000.9
14/03/2023 23:13:02,417,18.9,42,1000.9
14/03/2023 23:14:02,449,18.9,42,1000.9
14/03/2023 23:15:02,434,18.9,42,1000.9
14/03/2023 23:16:02,416,18.9,42,1000.8
14/03/2023 23:17:02,433,18.9,42,1000.8
14/03/2023 23:18:02,436,18.9,42,1000.8
14/03/2023 23:19:02,431,18.9,42,1000.8
14/03/2023 23:20:02,429,18.9,42,1000.7
14/03/2023 23:21:02,431,18.9,42,1000.8
14/03/2023 23:22:02,438,18.9,42,1000.9
14/03/2023 23:23:02,441,18.9,42,1000.8
14/03/2023 23:24:02,442,18.9,42,1000.8
14/03/2023 23:25:02,439,18.9,42,1000.8
14/03/2023 23:26:02,449,18.9,42,1000.7
14/03/2023 23:27:02,426,18.9,42,1000.9
14/03/2023 23:28:02,434,18.9,42,1000.8
14/03/2023 23:29:02,436,18.9,42,1000.8
14/03/2023 23:30:02,431,18.9,42,1000.8
14/03/2023 23:31:02,450,18.9,42,1000.8
14/03/2023 23:32:02,437,18.9,42,1000.8
14/03/2023 23:33:02,452,18.9,42,1000.9
14/03/2023 23:34:02,429,18.9,42,1000.9
14/03/2023 23:35:02,438,18.9,42,1000.8
14/03/2023 23:36:02,445,18.9,42,1000.8
14/03/2023 23:37:02,449,18.9,42,1000.8
14/03/2023 23:38:02,437,18.9,42,1000.8
14/03/2023 23:39:02,433,18.9,42,1000.8
14/03/2023 23:40:02,447,18.9,42,1000.9
14/03/2023 23:41:02,442,18.9,42,1000.9
14/03/2023 23:42:02,437,18.9,42,1000.9
14/03/2023 23:43:02,421,18.9,42,1001
14/03/2023 23:44:02,433,18.8,41,1001.2
14/03/2023 23:45:02,424,18.8,42,1001.1
14/03/2023 23:46:02,435,18.9,42,1001.1
14/03/2023 23:47:02,434,18.9,42,1001.2
14/03/2023 23:48:02,434,18.9,42,1001.2
14/03/2023 23:49:02,445,18.9,42,1001.3
14/03/2023 23:50:02,452,18.8,42,1001.2
14/03/2023 23:51:02,425,18.8,42,1001.2
14/03/2023 23:52:02,431,18.8,42,1001.1
14/03/2023 23:53:02,436,18.8,42,1001.2
14/03/2023 23:54:02,435,18.9,42,1001.3
14/03/2023 23:55:02,436,18.8,42,1001.3
14/03/2023 23:56:02,431,18.9,42,1001.1
14/03/2023 23:57:02,443,18.9,42,1001.2
14/03/2023 23:58:02,439,18.8,42,1001.4
14/03/2023 23:59:02,443,18.8,42,1001.2
15/03/2023 0:00:02,441,18.8,42,1001.4
15/03/2023 0:01:02,438,18.9,42,1001.3
15/03/2023 0:02:02,438,18.8,42,1001.3
15/03/2023 0:03:02,432,18.9,42,1001.4
15/03/2023 0:04:02,435,18.8,42,1001.5
15/03/2023 0:05:02,448,18.8,42,1001.4
15/03/2023 0:06:02,436,18.8,42,1001.2
15/03/2023 0:07:02,449,18.8,42,1001.4
15/03/2023 0:08:02,423,18.8,42,1001.3
15/03/2023 0:09:02,441,18.8,42,1001.5
15/03/2023 0:10:02,439,18.8,42,1001.4
15/03/2023 0:11:02,442,18.8,42,1001.4
15/03/2023 0:12:02,440,18.8,42,1001.4
15/03/2023 0:13:02,443,18.8,42,1001.3
15/03/2023 0:14:02,421,18.8,41,1001.4
15/03/2023 0:15:02,431,18.8,42,1001.3
15/03/2023 0:16:02,438,18.8,42,1001.4
15/03/2023 0:17:02,433,18.8,42,1001.3
15/03/2023 0:18:02,443,18.8,42,1001.3
15/03/2023 0:19:02,433,18.8,42,1001.4
15/03/2023 0:20:02,425,18.8,42,1001.4
15/03/2023 0:21:02,417,18.8,42,1001.5
15/03/2023 0:22:02,443,18.8,42,1001.4
15/03/2023 0:23:02,428,18.8,42,1001.5
15/03/2023 0:24:02,450,18.8,42,1001.5
15/03/2023 0:25:02,430,18.8,42,1001.4
15/03/2023 0:26:02,432,18.8,42,1001.5
15/03/2023 0:27:02,425,18.8,42,1001.5
15/03/2023 0:28:02,423,18.8,42,1001.5
15/03/2023 0:29:02,444,18.8,42,1001.5
15/03/2023 0:30:02,437,18.8,42,1001.5
15/03/2023 0:31:02,453,18.8,42,1001.5
15/03/2023 0:32:02,439,18.8,42,1001.4
15/03/2023 0:33:02,451,18.7,42,1001.4
15/03/2023 0:34:02,427,18.7,42,1001.4
15/03/2023 0:35:02,430,18.8,42,1001.4
15/03/2023 0:36:02,444,18.8,42,1001.3
15/03/2023 0:37:02,428,18.7,42,1001.3
15/03/2023 0:38:02,431,18.8,42,1001.3
15/03/2023 0:39:02,436,18.7,42,1001.3
15/03/2023 0:40:02,444,18.8,42,1001.2
15/03/2023 0:41:02,446,18.7,42,1001.2
15/03/2023 0:42:02,447,18.7,42,1001.2
15/03/2023 0:43:02,436,18.7,42,1001.3
15/03/2023 0:44:02,410,18.7,42,1001.2
15/03/2023 0:45:02,435,18.7,42,1001.2
15/03/2023 0:46:02,447,18.7,42,1001.2
15/03/2023 0:47:02,440,18.7,42,1001.3
15/03/2023 0:48:02,434,18.7,42,1001.3
15/03/2023 0:49:02,435,18.7,42,1001.2
15/03/2023 0:50:02,432,18.7,42,1001.3
15/03/2023 0:51:02,430,18.7,42,1001.3
15/03/2023 0:52:02,450,18.7,41,1001.3
15/03/2023 0:53:03,449,18.7,41,1001.3
15/03/2023 0:54:03,452,18.7,42,1001.4
15/03/2023 0:55:03,440,18.7,42,1001.4
15/03/2023 0:56:03,439,18.7,42,1001.4
15/03/2023 0:57:03,448,18.7,42,1001.4
15/03/2023 0:58:03,450,18.6,42,1001.3
15/03/2023 0:59:03,439,18.7,41,1001.4
15/03/2023 1:00:03,431,18.7,42,1001.3
15/03/2023 1:01:03,430,18.6,41,1001.4
15/03/2023 1:02:03,428,18.6,42,1001.4
15/03/2023 1:03:03,454,18.7,42,1001.3
15/03/2023 1:04:03,443,18.7,42,1001.3
15/03/2023 1:05:03,448,18.6,42,1001.2
15/03/2023 1:06:03,440,18.6,42,1001.3
15/03/2023 1:07:03,445,18.6,42,1001.3
15/03/2023 1:08:03,448,18.6,42,1001.3
15/03/2023 1:09:03,455,18.6,42,1001.4
15/03/2023 1:10:03,449,18.6,42,1001.5
